,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
recur,['vi. \xe9\x87\x8d\xe7\x8e\xb0\xef\xbc\x8c\xe5\x86\x8d\xe6\x9d\xa5\xef\xbc\x9b\xe5\xa4\x8d\xe5\x8f\x91']
wright,['n. \xe5\xbb\xba\xe9\x80\xa0\xe8\x80\x85\xef\xbc\x8c\xe5\x88\xb6\xe9\x80\xa0\xe8\x80\x85']
regenerate,['vt. \xe4\xbd\xbf\xe5\x86\x8d\xe7\x94\x9f\xef\xbc\x8c\xe6\x96\xb0\xe7\x94\x9f\xef\xbc\x9b\xe6\x9b\xb4\xe6\x96\xb0']
subside,['v. \xe5\xb9\xb3\xe6\x81\xaf\xef\xbc\x8c\xe5\x87\x8f\xe9\x80\x80']
erect,['vt. \xe4\xbd\xbf\xe6\xa0\x91\xe7\xab\x8b\xef\xbc\x9b\xe5\xbb\xba\xe7\xab\x8b\xef\xbc\x8c\xe5\x88\x9b\xe7\xab\x8b']
milieu,['n. \xe7\x8e\xaf\xe5\xa2\x83\xef\xbc\x9b\xe5\x87\xba\xe8\xba\xab\xe8\x83\x8c\xe6\x99\xaf']
subsidy,['n. \xe8\xa1\xa5\xe5\x8a\xa9\xe9\x87\x91\xef\xbc\x8c\xe6\xb4\xa5\xe8\xb4\xb4']
commission,['vt. \xe5\xa7\x94\xe4\xbb\xbb\xef\xbc\x8c\xe4\xbb\xbb\xe5\x91\xbd\xef\xbc\x9b\xe5\xa7\x94\xe6\x89\x98\xef\xbc\x8c\xe5\xa7\x94\xe6\x89\x98\xe5\x88\xb6\xe4\xbd\x9c']
trigger,['vt. \xe5\xbc\x95\xe5\x8f\x91\xef\xbc\x8c\xe5\xbc\x95\xe8\xb5\xb7\xef\xbc\x8c\xe8\xa7\xa6\xe5\x8f\x91']
detrimental,['adj. \xe6\x9c\x89\xe5\xae\xb3\xe7\x9a\x84']
interest,['n. \xe5\x85\xb4\xe8\xb6\xa3\xef\xbc\x9b\xe5\x88\xa9\xe6\x81\xaf']
privilege,['vt. \xe7\xbb\x99\xe4\xb8\x8e\xe2\x80\xa6\xe7\x89\xb9\xe6\x9d\x83\xef\xbc\x8c\xe7\x89\xb9\xe5\x85\x8d   n. \xe7\x89\xb9\xe6\x9d\x83']
flexible,['adj. \xe6\x98\x93\xe5\xbc\xaf\xe6\x9b\xb2\xe7\x9a\x84\xef\xbc\x8c\xe6\x9f\x94\xe8\xbd\xaf\xe7\x9a\x84\xef\xbc\x9b\xe5\x8f\x98\xe9\x80\x9a\xe7\x9a\x84']
basin,['n. \xe7\x9b\x86\xef\xbc\x9b\xe7\x9b\x86\xe5\x9c\xb0']
contraction,['n. \xe7\xbc\xa9\xe7\x9f\xad\xef\xbc\x8c\xe6\x94\xb6\xe7\xbc\xa9']
formalized,['adj. \xe5\xbd\xa2\xe5\xbc\x8f\xe5\x8c\x96\xe7\x9a\x84\xef\xbc\x8c\xe4\xbd\xbf\xe7\xa8\x8b\xe5\xba\x8f\xe5\x8c\x96\xe7\x9a\x84']
cowhand,['n. \xe7\x89\x9b\xe4\xbb\x94\xef\xbc\x8c\xe7\x89\xa7\xe7\x89\x9b\xe5\xb7\xa5']
probe,['vi. \xe8\xb0\x83\xe6\x9f\xa5\xef\xbc\x8c\xe6\x9f\xa5\xe7\xa9\xb6']
fleeting,['adj. \xe7\x9f\xad\xe6\x9a\x82\xe7\x9a\x84\xef\xbc\x8c\xe9\xa3\x9e\xe9\x80\x9d\xe7\x9a\x84']
proclivity,['n. \xe5\x80\xbe\xe5\x90\x91\xef\xbc\x8c\xe7\x99\x96\xe6\x80\xa7']
mushroom,['n. \xe8\x98\x91\xe8\x8f\x87']
suppress,['vt. \xe9\x95\x87\xe5\x8e\x8b\xef\xbc\x8c\xe6\x8a\x91\xe5\x88\xb6']
dismiss,['vt. \xe8\xa7\xa3\xe6\x95\xa3\xef\xbc\x9b\xe6\x91\x92\xe9\x99\xa4\xef\xbc\x88\xe6\x80\x9d\xe6\x83\xb3\xe3\x80\x81\xe6\x84\x9f\xe6\x83\x85\xe7\xad\x89\xef\xbc\x89']
excite,['vt. \xe5\x88\xba\xe6\xbf\x80\xef\xbc\x8c\xe4\xbd\xbf\xe5\x85\xb4\xe5\xa5\x8b']
overtax,['vt. \xe8\xaf\xbe\xe7\xa8\x8e\xe8\xbf\x87\xe9\x87\x8d']
harmonize,['v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe5\x8d\x8f\xe8\xb0\x83\xef\xbc\x8c\xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe5\x92\x8c\xe8\xb0\x90']
coherent,['adj. \xe7\xb2\x98\xe5\x9c\xa8\xe4\xb8\x80\xe8\xb5\xb7\xe7\x9a\x84']
craft,['n. \xe5\xb7\xa5\xe8\x89\xba\xef\xbc\x8c\xe6\x89\x8b\xe8\x89\xba']
pinch,['vt. \xe6\x8e\x90\xef\xbc\x8c\xe5\xa4\xb9\xe7\x97\x9b']
aviation,['n. \xe8\x88\xaa\xe7\xa9\xba\xef\xbc\x9b\xe8\x88\xaa\xe7\xa9\xba\xe5\xad\xa6']
patronizing,"['adj. \xe4\xbf\xa8\xe7\x84\xb6\xe4\xbb\xa5\xe6\x81\xa9\xe4\xba\xba\xe6\x80\x81\xe5\xba\xa6\xe7\x9a\x84, \xe8\xa6\x81\xe4\xba\xba\xe9\xa2\x86\xe6\x83\x85\xe7\x9a\x84']"
glider,['n. \xe6\xbb\x91\xe8\xa1\x8c\xe8\x80\x85\xef\xbc\x9b\xe6\xbb\x91\xe7\xbf\x94\xe6\x9c\xba']
chill,['vt. \xe4\xbd\xbf\xe5\x86\xb7\xef\xbc\x8c\xe5\x8f\x98\xe5\x86\xb7\xef\xbc\x9b\xe5\x86\xb7\xe5\x8d\xb4']
harshness,['n. \xe4\xb8\xa5\xe9\x85\xb7\xef\xbc\x8c\xe6\x81\xb6\xe5\x8a\xa3']
commerce,['n. \xe5\x95\x86\xe4\xb8\x9a']
exception,['n. \xe4\xbe\x8b\xe5\xa4\x96']
save,['vt. \xe6\x8b\xaf\xe6\x95\x91\xef\xbc\x9b\xe4\xbf\x9d\xe7\x95\x99']
presidency,['n. \xe6\x80\xbb\xe7\xbb\x9f\xe8\x81\x8c\xe4\xbd\x8d\xef\xbc\x9b\xe6\x80\xbb\xe7\xbb\x9f\xe4\xbb\xbb\xe6\x9c\x9f']
affirm,['vt. \xe6\x96\xad\xe8\xa8\x80\xef\xbc\x9b\xe8\xaf\x81\xe5\xae\x9e\xef\xbc\x8c\xe7\xa1\xae\xe8\xae\xa4']
herculean,"['adj. \xe5\x8a\x9b\xe5\xa4\xa7\xe6\x97\xa0\xe6\xaf\x94\xe7\x9a\x84, \xe5\xb7\xa8\xe5\xa4\xa7\xe7\x9a\x84']"
originate,['vt. \xe5\x8f\x91\xe7\x94\x9f\xef\xbc\x9b\xe5\x8f\x91\xe8\xb5\xb7\xef\xbc\x8c\xe5\x88\x9b\xe5\x8a\x9e']
portable,['adj. \xe7\xbc\x96\xe6\x90\xba\xe7\x9a\x84\xef\xbc\x8c\xe6\x89\x8b\xe6\x8f\x90\xe7\x9a\x84\xef\xbc\x9b\xe8\xbd\xbb\xe4\xbe\xbf\xe7\x9a\x84']
counterclockwis,['adj./adv. \xe9\x80\x86\xe6\x97\xb6\xe9\x92\x88\xe7\x9a\x84\xef\xbc\x88\xe5\x9c\xb0\xef\xbc\x89']
air,['n. \xe7\xa9\xba\xe6\xb0\x94\xef\xbc\x8c\xe7\xa9\xba\xe4\xb8\xad']
aim,['n. \xe7\x9b\xae\xe6\xa0\x87\xef\xbc\x8c\xe8\xae\xa1\xe5\x88\x92']
outgrowth,['n. \xe9\x95\xbf\xe5\x87\xba\xef\xbc\x9b\xe7\xbb\x93\xe6\x9e\x9c\xef\xbc\x9b\xe5\x89\xaf\xe4\xba\xa7\xe7\x89\xa9']
taste,['v. \xe5\x93\x81\xe5\xb0\x9d\xef\xbc\x8c\xe8\xbe\xa8\xe5\x91\xb3']
abrupt,['adj. \xe7\xaa\x81\xe7\x84\xb6\xe7\x9a\x84\xef\xbc\x8c\xe6\x84\x8f\xe5\xa4\x96\xe7\x9a\x84']
watercourse,['n. \xe6\xb0\xb4\xe9\x81\x93\xef\xbc\x8c\xe6\xb2\xb3\xe9\x81\x93']
itinerary,['n. \xe8\xb7\xaf\xe7\xba\xbf']
balance,['n. \xe5\xb9\xb3\xe8\xa1\xa1']
platelike,['adj. \xe5\xb1\x82\xe7\x8a\xb6\xe7\x9a\x84']
precede,['vt. \xe5\x9c\xa8\xe2\x80\xa6\xe4\xb9\x8b\xe5\x89\x8d\xef\xbc\x8c\xe6\x97\xa9\xe4\xba\x8e\xef\xbc\x9b\xe4\xbc\x98\xe5\x85\x88\xe4\xba\x8e']
stock car racing,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\x93\xe4\xb8\x9a\xe6\xb1\xbd\xe8\xbd\xa6\xe6\xaf\x94\xe8\xb5\x9b']
nonfiction,['n. \xe9\x9d\x9e\xe5\xb0\x8f\xe8\xaf\xb4\xe7\x9a\x84\xe6\x95\xa3\xe6\x96\x87\xe6\x96\x87\xe5\xad\xa6']
spawn,['v. \xe4\xba\xa7\xe5\x8d\xb5\xef\xbc\x8c\xe5\xa4\xa7\xe9\x87\x8f\xe7\x94\x9f\xe8\x82\xb2']
upgrade,['v. \xe4\xbd\xbf\xe5\x8d\x87\xe7\xba\xa7\xef\xbc\x8c\xe6\x8f\x90\xe5\x8d\x87']
cylinder,['n. \xe5\x9c\x86\xe7\xad\x92\xef\xbc\x8c\xe5\x9c\x86\xe6\x9f\xb1\xe4\xbd\x93']
pyramid,['n. \xe9\x87\x91\xe5\xad\x97\xe5\xa1\x94']
congratulation,['n. \xe7\xa5\x9d\xe8\xb4\xba\xef\xbc\x8c\xe9\x81\x93\xe5\x96\x9c']
preeminent,['adj. \xe5\x8d\x93\xe8\xb6\x8a\xe7\x9a\x84\xef\xbc\x8c\xe5\x87\xba\xe7\xb1\xbb\xe6\x8b\x94\xe8\x90\x83\xe7\x9a\x84']
metropolitan,['adj. \xe4\xb8\xbb\xe8\xa6\x81\xe9\x83\xbd\xe5\xb8\x82\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\xa7\xe5\x9f\x8e\xe5\xb8\x82\xe7\x9a\x84']
spectacle,['n. \xe5\xa5\x87\xe8\xa7\x82\xef\xbc\x9b\xe5\xb1\x95\xe7\xa4\xba\xef\xbc\x8c\xe6\x99\xaf\xe8\xb1\xa1']
sting,['v. \xe5\x88\xba\xef\xbc\x9b\xe5\x88\xba\xe7\x97\x9b']
mannerism,['n. \xe7\x89\xb9\xe6\xae\x8a\xe4\xb9\xa0\xe6\x83\xaf\xef\xbc\x8c\xe6\x80\xaa\xe7\x99\x96']
characterize,['vt. \xe8\xa1\xa8\xe7\x8e\xb0\xe2\x80\xa6\xe7\x9a\x84\xe7\x89\xb9\xe8\x89\xb2\xef\xbc\x8c\xe5\x88\xbb\xe7\x94\xbb\xe2\x80\xa6\xe7\x9a\x84\xe6\x80\xa7\xe6\xa0\xbc']
elicit,['vt. \xe5\xbe\x97\xe5\x87\xba\xef\xbc\x9b\xe5\xbc\x95\xe5\x87\xba']
dizzy,['adj. \xe7\x9c\xa9\xe6\x99\x95\xe7\x9a\x84']
upscale,['adj. \xe9\xab\x98\xe6\xb6\x88\xe8\xb4\xb9\xe9\x98\xb6\xe5\xb1\x82\xe7\x9a\x84']
cone,['n. \xe5\x9c\x86\xe9\x94\xa5\xef\xbc\x8c\xe6\x9d\xbe\xe6\x9e\x9c']
exterior,['n. \xe5\xa4\x96\xe9\x83\xa8\xef\xbc\x8c\xe5\xa4\x96\xe8\xa1\xa8']
immune system,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x85\x8d\xe7\x96\xab\xe7\xb3\xbb\xe7\xbb\x9f']
comparative,['adj. \xe6\xaf\x94\xe8\xbe\x83\xe7\x9a\x84']
elevation,['n. \xe9\xab\x98\xe5\xba\xa6\xef\xbc\x8c\xe6\xb5\xb7\xe6\x8b\x94']
plunge,['vi. \xe8\xb7\xb3\xe8\xbf\x9b\xef\xbc\x9b\xe6\x8a\x95\xe5\x85\xa5\xef\xbc\x8c\xe9\x99\xb7\xe5\x85\xa5']
shift,['v. \xe7\xa7\xbb\xe5\x8a\xa8\xef\xbc\x8c\xe6\x94\xb9\xe5\x8f\x98\xe4\xbd\x8d\xe7\xbd\xae\xe6\x88\x96\xe6\x96\xb9\xe5\x90\x91']
surcharge,['n. \xe5\xa2\x9e\xe4\xbb\x98\xe7\x9a\x84\xe8\xb4\xb9\xe7\x94\xa8\xef\xbc\x8c\xe9\x99\x84\xe5\x8a\xa0\xe8\xb4\xb9']
memorial,['n. \xe7\xba\xaa\xe5\xbf\xb5\xe7\x89\xa9']
descent,['n. \xe9\x99\x8d\xe4\xb8\x8b\xef\xbc\x8c\xe9\x99\x8d\xe8\x90\xbd\xef\xbc\x9b\xe4\xb8\x96\xe7\xb3\xbb\xef\xbc\x8c\xe8\xa1\x80\xe7\xbb\x9f']
soldier,['n. \xe5\x86\x9b\xe4\xba\xba\xef\xbc\x8c\xe5\xa3\xab\xe5\x85\xb5']
jolting,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe9\x9c\x87\xe6\x83\x8a\xe7\x9a\x84']
in common,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x85\xb1\xe6\x9c\x89\xef\xbc\x8c\xe6\x9c\x89\xe5\x85\xb1\xe5\x90\x8c\xe4\xb9\x8b\xe5\xa4\x84']
verify,['vt. \xe8\xaf\x81\xe6\x98\x8e\xef\xbc\x8c\xe8\xaf\x81\xe5\xae\x9e']
rebellion,['n. \xe8\xb0\x8b\xe5\x8f\x8d\xef\xbc\x8c\xe5\x8f\x9b\xe4\xb9\xb1']
fatal,['adj. \xe8\x87\xb4\xe5\x91\xbd\xe7\x9a\x84']
haphazard,['adj. \xe5\x81\xb6\xe7\x84\xb6\xe7\x9a\x84\xef\xbc\x9b\xe9\x9a\x8f\xe4\xbe\xbf\xe7\x9a\x84']
complex,['adj. \xe5\xa4\x8d\xe6\x9d\x82\xe7\x9a\x84\xef\xbc\x8c\xe8\xb4\xb9\xe8\xa7\xa3\xe7\x9a\x84\xef\xbc\x9b\xe7\xbb\x93\xe6\x9e\x84\xe5\xa4\x8d\xe6\x9d\x82\xe7\x9a\x84']
descend,['v. \xe4\xbc\xa0\xe4\xb8\x8b\xef\xbc\x8c\xe9\x81\x97\xe4\xbc\xa0']
contaminate,['vt. \xe5\xbc\x84\xe8\x84\x8f\xef\xbc\x8c\xe6\xb1\xa1\xe6\x9f\x93\xef\xbc\x9b\xe6\x84\x9f\xe6\x9f\x93']
raid,['n. \xe8\xa2\xad\xe5\x87\xbb']
quantum theory,['n. \xef\xbc\x88\xe7\x89\xa9\xe7\x90\x86\xef\xbc\x89\xe9\x87\x8f\xe5\xad\x90\xe8\xae\xba']
monarch,['n. \xe5\x90\x9b\xe4\xb8\xbb\xef\xbc\x8c\xe5\xb8\x9d\xe7\x8e\x8b']
liberal,"['adj. \xe5\xbc\x80\xe6\x94\xbe\xe7\x9a\x84,\xe4\xb8\xbb\xe5\xbc\xa0\xe5\x8f\x98\xe9\x9d\xa9\xe7\x9a\x84,\xe8\x87\xaa\xe7\x94\xb1\xe4\xb8\xbb\xe4\xb9\x89\xe7\x9a\x84']"
entitled,['adj. \xe6\x9c\x89\xe8\xb5\x84\xe6\xa0\xbc\xe7\x9a\x84']
exertion,['n. \xe5\xb0\xbd\xe5\x8a\x9b\xef\xbc\x8c\xe5\x8a\xaa\xe5\x8a\x9b']
independent,['adj. \xe7\x8b\xac\xe7\xab\x8b\xe8\x87\xaa\xe4\xb8\xbb\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x8f\x97\xe7\xba\xa6\xe6\x9d\x9f\xe7\x9a\x84']
advocate,['n. \xe6\x8f\x90\xe5\x80\xa1\xe8\x80\x85\xef\xbc\x8c\xe4\xb8\xbb\xe5\xbc\xa0\xe8\x80\x85\xef\xbc\x8c\xe6\x8b\xa5\xe6\x8a\xa4\xe8\x80\x85']
commonsense,['adj. \xe5\x85\xb7\xe6\x9c\x89\xe5\xb8\xb8\xe8\xaf\x86\xe7\x9a\x84']
screw,['n. \xe8\x9e\xba\xe6\x97\x8b\xef\xbc\x8c\xe8\x9e\xba\xe9\x92\x89']
saltiness,['n. \xe7\x9b\x90\xe5\xba\xa6']
millennia,['n. \xe4\xb8\x80\xe5\x8d\x83\xe5\xb9\xb4\xef\xbc\x8c\xe5\x8d\x83\xe7\xa6\xa7\xe5\xb9\xb4']
milestone,['n. \xe9\x87\x8c\xe7\xa8\x8b\xe7\xa2\x91\xef\xbc\x9b\xe5\x88\x92\xe6\x97\xb6\xe4\xbb\xa3\xe7\x9a\x84\xe4\xba\x8b\xe4\xbb\xb6']
springtime,['n. \xe6\x98\xa5\xe5\xa4\xa9\xef\xbc\x8c\xe6\x98\xa5\xe5\xad\xa3']
displace,['vt. \xe7\xa7\xbb\xe7\xbd\xae\xef\xbc\x8c\xe8\xbd\xac\xe7\xa7\xbb\xef\xbc\x9b\xe5\x8f\x96\xe4\xbb\xa3\xef\xbc\x8c\xe6\x9b\xbf\xe4\xbb\xa3']
renaissance,['n. \xe5\xa4\x8d\xe6\xb4\xbb\xef\xbc\x9b\xe6\x96\x87\xe8\x89\xba\xe5\xa4\x8d\xe5\x85\xb4']
funding,['n. \xe6\x8b\xa8\xe6\xac\xbe']
internal,['adj. \xe5\x86\x85\xe5\x9c\xa8\xe7\x9a\x84']
symmetrical,['adj. \xe5\xaf\xb9\xe7\xa7\xb0\xe7\x9a\x84']
threadlike,['adj. \xe7\xba\xbf\xe7\x8a\xb6\xe7\x9a\x84']
overt,['adj. \xe6\x98\x8e\xe6\x98\xbe\xe7\x9a\x84\xef\xbc\x9b\xe5\x85\xac\xe7\x84\xb6\xe7\x9a\x84']
bequest,['n. \xe9\x81\x97\xe4\xba\xa7\xef\xbc\x8c\xe9\x81\x97\xe8\xb5\xa0']
chateau,['n. \xe5\x9f\x8e\xe5\xa0\xa1\xef\xbc\x8c\xe9\xab\x98\xe7\xba\xa7\xe6\x97\x85\xe9\xa6\x86']
butter,['n. \xe9\xbb\x84\xe6\xb2\xb9\xef\xbc\x8c\xe7\x89\x9b\xe6\xb2\xb9']
judgement,['n. \xe5\x88\xa4\xe5\x86\xb3']
incredulity,['n. \xe6\x80\x80\xe7\x96\x91\xef\xbc\x8c\xe4\xb8\x8d\xe7\x9b\xb8\xe4\xbf\xa1']
intrusion,['n. \xe4\xbe\xb5\xe6\x89\xb0\xef\xbc\x8c\xe5\xb9\xb2\xe6\x89\xb0']
photosynthesis,['n. \xe5\x85\x89\xe5\x90\x88\xe4\xbd\x9c\xe7\x94\xa8']
stimuli,['n. stimulus\xe5\xa4\x8d\xe6\x95\xb0']
humble,['adj. \xe5\x8d\x91\xe8\xb4\xb1\xe7\x9a\x84\xef\xbc\x9b\xe8\xb0\xa6\xe9\x80\x8a\xe7\x9a\x84']
drip,['n. \xe6\xb0\xb4\xe6\xbb\xb4\xef\xbc\x9b  v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\xbb\xb4\xe4\xb8\x8b']
inherit,['vt. \xe7\xbb\xa7\xe6\x89\xbf']
intrigue,['vt. \xe6\xbf\x80\xe8\xb5\xb7\xe2\x80\xa6\xe7\x9a\x84\xe5\x85\xb4\xe8\xb6\xa3']
ragged,['adj. \xe8\xa4\xb4\xe8\xa4\x9b\xe7\x9a\x84\xef\xbc\x8c\xe7\xa0\xb4\xe7\x83\x82\xe7\x9a\x84']
academic,['adj. \xe5\xad\xa6\xe6\x9c\xaf\xe7\x9a\x84\xef\xbc\x9b\xe5\xad\xa6\xe9\x99\xa2\xe7\x9a\x84\xef\xbc\x9b\xe7\x90\x86\xe8\xae\xba\xe7\x9a\x84']
savings,['n. \xe5\x82\xa8\xe8\x93\x84\xef\xbc\x8c\xe5\xad\x98\xe6\xac\xbe']
contact,['vt. \xe4\xbd\xbf\xe6\x8e\xa5\xe8\xa7\xa6\xef\xbc\x8c\xe4\xb8\x8e\xe2\x80\xa6\xe8\x81\x94\xe7\xb3\xbb']
impediment,['n. \xe5\xa6\xa8\xe7\xa2\x8d\xef\xbc\x8c\xe9\x98\xbb\xe7\xa2\x8d\xef\xbc\x88\xe7\x89\xa9\xef\xbc\x89']
quantitative,['adj. \xe5\xae\x9a\xe9\x87\x8f\xe7\x9a\x84\xef\xbc\x9b\xe6\x95\xb0\xe9\x87\x8f\xe7\x9a\x84']
submarine,['n. \xe6\xbd\x9c\xe6\xb0\xb4\xe8\x89\x87\xef\xbc\x8c\xe6\xbd\x9c\xe8\x89\x87']
slightly,['adv. \xe4\xba\x9b\xe5\xbe\xae\xe5\x9c\xb0']
seasonal,['adj. \xe5\xad\xa3\xe8\x8a\x82\xe7\x9a\x84\xef\xbc\x8c\xe5\xad\xa3\xe8\x8a\x82\xe6\x80\xa7\xe7\x9a\x84']
etiquette,['n. \xe7\xa4\xbc\xe4\xbb\xaa\xef\xbc\x8c\xe7\xa4\xbc\xe8\x8a\x82']
stringent,['adj. \xe4\xb8\xa5\xe5\x8e\x89\xe7\x9a\x84']
mingle,['v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\xb7\xb7\xe5\x90\x88']
consciousness,['n. \xe6\x84\x8f\xe8\xaf\x86\xef\xbc\x8c\xe7\x9f\xa5\xe8\xa7\x89']
sentence,['n./v. \xe5\xae\xa3\xe5\x88\xa4']
dietetics,['n. \xe8\x90\xa5\xe5\x85\xbb\xe5\xad\xa6']
distribute,['vt. \xe5\x88\x86\xe9\x85\x8d\xef\xbc\x9b\xe5\x88\x86\xe5\x8f\x91\xef\xbc\x8c\xe6\x95\xa3\xe5\xb8\x83']
unfair,['adj. \xe4\xb8\x8d\xe5\x85\xac\xe5\xb9\xb3\xe7\x9a\x84']
hillbilly,['n. \xe5\xb1\xb1\xe5\x9c\xb0\xe5\x86\x85\xe9\x83\xa8\xe7\x9a\x84\xe8\xb4\xab\xe5\x86\x9c\xef\xbc\x8c\xe5\xb1\xb1\xe9\x87\x8c\xe4\xba\xba']
rarefy,['vt. \xe4\xbd\xbf\xe7\xa8\x80\xe5\xb0\x91\xef\xbc\x8c\xe4\xbd\xbf\xe7\xa8\x80\xe8\x96\x84']
rodent,['n. \xe5\x95\xae\xe9\xbd\xbf\xe7\xb1\xbb\xe5\x8a\xa8\xe7\x89\xa9']
wholesaler,['n. \xe6\x89\xb9\xe5\x8f\x91\xe5\x95\x86']
topography,['n. \xe5\x9c\xb0\xe5\xbd\xa2\xef\xbc\x9b\xe5\x9c\xb0\xe5\xbd\xa2\xe5\xad\xa6']
identify,['vt. \xe8\xaf\x86\xe5\x88\xab\xef\xbc\x8c\xe8\xae\xa4\xe5\x87\xba\xef\xbc\x9b\xe9\x89\xb4\xe5\xae\x9a']
mechanism,['n. \xe6\x9c\xba\xe6\xa2\xb0\xef\xbc\x9b\xe6\x9c\xba\xe7\x90\x86\xef\xbc\x8c\xe8\xbf\x90\xe4\xbd\x9c\xe6\x9c\xba\xe5\x88\xb6']
puzzling,['adj. \xe4\xbd\xbf\xe8\xbf\xb7\xe6\x83\x91\xe7\x9a\x84\xef\xbc\x8c\xe4\xbd\xbf\xe8\x8e\xab\xe5\x90\x8d\xe5\x85\xb6\xe5\xa6\x99\xe7\x9a\x84']
plight,['n. \xef\xbc\x88\xe6\x81\xb6\xe5\x8a\xa3\xe7\x9a\x84\xef\xbc\x89\xe6\x83\x85\xe5\x8a\xbf\xef\xbc\x8c\xe5\x9b\xb0\xe5\xa2\x83']
emergence,['n. \xe6\xb5\xae\xe7\x8e\xb0\xef\xbc\x8c\xe5\x87\xba\xe7\x8e\xb0']
convivial,['adj. \xe6\xac\xa2\xe4\xb9\x90\xe7\x9a\x84\xef\xbc\x8c\xe5\xbf\xab\xe4\xb9\x90\xe7\x9a\x84']
projection,['n. \xe5\x8f\x91\xe5\xb0\x84']
terrific,['adj. \xe6\x9e\x81\xe5\xa5\xbd\xe7\x9a\x84']
residential,['adj. \xe4\xbd\x8f\xe5\xae\x85\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8e\xe5\xb1\x85\xe4\xbd\x8f\xe6\x9c\x89\xe5\x85\xb3\xe7\x9a\x84']
campaign,['n. (\xe6\x94\xbf\xe6\xb2\xbb\xe6\x88\x96\xe5\x95\x86\xe4\xb8\x9a\xe6\x80\xa7)\xe6\xb4\xbb\xe5\x8a\xa8\xef\xbc\x8c\xe7\xab\x9e\xe9\x80\x89\xe6\xb4\xbb\xe5\x8a\xa8']
candidate,['n. \xe5\x80\x99\xe9\x80\x89\xe4\xba\xba']
endangered,['adj. \xe6\x9c\x89\xe7\x81\xad\xe7\xbb\x9d\xe5\x8d\xb1\xe9\x99\xa9\xe7\x9a\x84\xef\xbc\x8c\xe5\xb0\x86\xe8\xa6\x81\xe7\xbb\x9d\xe7\xa7\x8d\xe7\x9a\x84']
agile,['adj. \xe6\x95\x8f\xe6\x8d\xb7\xe7\x9a\x84\xef\xbc\x8c\xe6\xb4\xbb\xe6\xb3\xbc\xe8\xbd\xbb\xe5\xbf\xab\xe7\x9a\x84']
indispensable,['adj. \xe4\xb8\x8d\xe5\x8f\xaf\xe7\xbc\xba\xe5\xb0\x91\xe7\x9a\x84\xef\xbc\x8c\xe5\xbf\x85\xe9\x9c\x80\xe7\x9a\x84']
character,['n. \xe8\xa7\x92\xe8\x89\xb2\xef\xbc\x9b\xe6\x80\xa7\xe6\xa0\xbc']
advancement,['n. \xe8\xbf\x9b\xe5\xb1\x95\xef\xbc\x9b\xe6\x8f\x90\xe5\x8d\x87']
postal,['adj. \xe9\x82\xae\xe6\x94\xbf\xe7\x9a\x84\xef\xbc\x8c\xe9\x82\xae\xe5\xb1\x80\xe7\x9a\x84']
hilly,['adj. \xe5\xa4\x9a\xe5\xb0\x8f\xe5\xb1\xb1\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\x9a\xe5\x9d\xa1\xe7\x9a\x84']
passive,['adj. \xe8\xa2\xab\xe5\x8a\xa8\xe7\x9a\x84\xef\xbc\x9b\xe6\xb6\x88\xe6\x9e\x81\xe7\x9a\x84']
hay,['n. \xe5\xb9\xb2\xe8\x8d\x89']
alchemy,['n. \xe7\x82\xbc\xe9\x87\x91\xe6\x9c\xaf']
affinity,['n. \xe7\xb4\xa7\xe5\xaf\x86\xe5\x85\xb3\xe7\xb3\xbb']
board,['n. \xef\xbc\x88\xe8\x96\x84\xe8\x80\x8c\xe5\xb9\xb3\xe7\x9a\x84\xef\xbc\x89\xe6\x9c\xa8\xe6\x9d\xbf']
innocent,['adj. \xe6\x97\xa0\xe8\xbe\x9c\xe7\x9a\x84\xef\xbc\x8c\xe6\xb8\x85\xe7\x99\xbd\xe7\x9a\x84\xef\xbc\x9b\xe5\xa4\xa9\xe7\x9c\x9f\xe7\x9a\x84']
urbanization,['n. \xe9\x83\xbd\xe5\xb8\x82\xe5\x8c\x96\xef\xbc\x8c\xe6\x96\x87\xe9\x9b\x85\xe5\x8c\x96']
preside over,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\xbb\xe6\x8c\x81']
pivotal,['adj. \xe6\x9e\xa2\xe8\xbd\xb4\xe7\x9a\x84\xef\xbc\x8c\xe5\x85\xb3\xe9\x94\xae\xe7\x9a\x84']
